scene,seed,beta_scale,decisions_differ,steer_jaccard,regret_utility_pts,gain_nominal_pct,gain_delivered_pct,sinr_shift_db
berlin_mitte,0,0.8,0,1.0,0.0,17.7413,17.7413,-0.1292
berlin_mitte,0,1.2,0,1.0,0.0,17.7413,17.7413,0.1046
berlin_mitte,1,0.8,0,1.0,0.0,16.6667,16.6667,-0.0906
berlin_mitte,1,1.2,0,1.0,0.0,16.6667,16.6667,0.0694
berlin_mitte,2,0.8,0,1.0,0.0,16.2821,16.2821,-0.0965
berlin_mitte,2,1.2,0,1.0,0.0,16.2821,16.2821,0.1992
berlin_mitte,3,0.8,0,1.0,0.0,-2.6951,-2.6951,-0.092
berlin_mitte,3,1.2,0,1.0,0.0,-2.6951,-2.6951,0.0692
berlin_mitte,4,0.8,0,1.0,0.0,14.9405,14.9405,-0.1942
berlin_mitte,4,1.2,0,1.0,0.0,14.9405,14.9405,0.1088
berlin_mitte,5,0.8,0,1.0,0.0,-12.6676,-12.6676,-0.1449
berlin_mitte,5,1.2,1,0.5,0.12625781445242978,-12.6676,0.0,0.1139
berlin_mitte,6,0.8,0,1.0,0.0,-0.7229,-0.7229,-0.0745
berlin_mitte,6,1.2,0,1.0,0.0,-0.7229,-0.7229,0.0557
berlin_mitte,7,0.8,0,1.0,0.0,4.2608,4.2608,-0.0821
berlin_mitte,7,1.2,0,1.0,0.0,4.2608,4.2608,0.064
paris_opera,0,0.8,0,1.0,0.0,18.6103,18.6103,-0.2634
paris_opera,0,1.2,0,1.0,0.0,18.6103,18.6103,0.1243
paris_opera,1,0.8,0,1.0,0.0,22.2222,22.2222,-0.3364
paris_opera,1,1.2,0,1.0,0.0,22.2222,22.2222,0.1907
paris_opera,2,0.8,0,1.0,0.0,12.0586,12.0586,-0.2036
paris_opera,2,1.2,0,1.0,0.0,12.0586,12.0586,0.0986
paris_opera,3,0.8,0,1.0,0.0,20.8025,20.8025,-0.2173
paris_opera,3,1.2,0,1.0,0.0,20.8025,20.8025,0.1704
paris_opera,4,0.8,0,1.0,0.0,0.0,0.0,-0.071
paris_opera,4,1.2,0,1.0,0.0,0.0,0.0,0.0559
paris_opera,5,0.8,0,1.0,0.0,14.7542,14.7542,-0.1222
paris_opera,5,1.2,0,1.0,0.0,14.7542,14.7542,0.0968
paris_opera,6,0.8,1,0.16666666666666666,1.0229920245756077,14.3764,14.3764,-0.1282
paris_opera,6,1.2,0,1.0,0.0,14.3764,14.3764,0.1542
paris_opera,7,0.8,0,1.0,0.0,0.8668,0.8668,-0.1211
paris_opera,7,1.2,0,1.0,0.0,0.8668,0.8668,0.0959
manhattan_mid,0,0.8,1,0.8,0.08576452480150465,6.6091,6.6091,-0.1829
manhattan_mid,0,1.2,0,1.0,0.0,6.6091,6.6091,0.063
manhattan_mid,1,0.8,0,1.0,0.0,26.5295,26.5295,-0.135
manhattan_mid,1,1.2,0,1.0,0.0,26.5295,26.5295,0.1011
manhattan_mid,2,0.8,0,1.0,0.0,2.6449,2.6449,-0.0663
manhattan_mid,2,1.2,0,1.0,0.0,2.6449,2.6449,0.1147
manhattan_mid,3,0.8,0,1.0,0.0,23.4834,23.4834,-0.3133
manhattan_mid,3,1.2,0,1.0,0.0,23.4834,23.4834,0.1126
manhattan_mid,4,0.8,0,1.0,0.0,9.1912,9.1912,-0.1102
manhattan_mid,4,1.2,0,1.0,0.0,9.1912,9.1912,0.084
manhattan_mid,5,0.8,0,1.0,0.0,11.4382,11.4382,-0.1744
manhattan_mid,5,1.2,0,1.0,0.0,11.4382,11.4382,0.1401
manhattan_mid,6,0.8,0,1.0,0.0,25.2564,25.2564,-0.1069
manhattan_mid,6,1.2,0,1.0,0.0,25.2564,25.2564,0.0807
manhattan_mid,7,0.8,0,1.0,0.0,0.0,0.0,-0.0811
manhattan_mid,7,1.2,0,1.0,0.0,0.0,0.0,0.0652
