arm,variant,dur_s,settle_s,rep,pos,pci,ho_ok,goodput_mbps,dl_mcs,mac_goodput_mbps
cochannel_tcp6,cochannel,6,3,1,1,0,0,7.861747898145991,20,33.97
cochannel_tcp6,cochannel,6,3,1,2,1,1,6.290684342720627,10,12.29
cochannel_tcp6,cochannel,6,3,1,3,0,1,12.74771445244116,17,26.06
cochannel_tcp6,cochannel,6,3,1,4,1,1,6.813984856242947,16,24.17
cochannel_tcp6,cochannel,6,3,1,5,0,1,8.386387005174797,16,23.81
cochannel_tcp6,cochannel,6,3,1,6,1,1,5.94075340736644,8,9.69
cochannel_tcp6,cochannel,6,3,2,1,0,0,8.7372465028133,13,17.93
cochannel_tcp6,cochannel,6,3,2,2,1,1,6.815472517011406,9,11.5
cochannel_tcp6,cochannel,6,3,2,3,0,1,6.8147092999712875,16,25.48
cochannel_tcp6,cochannel,6,3,2,4,1,1,5.591003855033671,8,9.55
cochannel_tcp6,cochannel,6,3,2,5,0,1,5.940807853982263,17,27.37
cochannel_tcp6,cochannel,6,3,2,6,1,1,6.1155211917715775,13,18.18
cochannel_plateau,cochannel,20,20,0,1,0,0,19.240514359136736,28,88.44
cochannel_plateau,cochannel,20,20,0,2,1,1,,28,88.43
cochannel_plateau,cochannel,20,20,0,3,0,1,17.142584768800774,28,87.7
cochannel_plateau,cochannel,20,20,0,4,1,1,17.301024761614098,28,88.37
cochannel_plateau,cochannel,20,20,0,5,0,1,17.77248968213212,28,88.55
cochannel_plateau,cochannel,20,20,0,6,1,1,17.929720840460465,28,88.18
cochannel_plateau,cochannel,20,20,1,1,0,0,18.348900165719346,28,88.31
cochannel_plateau,cochannel,20,20,1,2,1,1,17.195843354115365,28,88.4
cochannel_plateau,cochannel,20,20,1,3,0,1,18.139524939995276,28,88.6
cochannel_plateau,cochannel,20,20,1,4,1,1,17.8781197886232,28,88.56
cochannel_plateau,cochannel,20,20,1,5,0,1,18.349043279054733,28,88.37
cochannel_plateau,cochannel,20,20,1,6,1,1,17.143500144518953,28,88.43
cochannel_plateau,cochannel,20,20,2,1,0,0,19.083363757186355,28,88.69
cochannel_plateau,cochannel,20,20,2,2,1,1,,28,88.61
cochannel_plateau,cochannel,20,20,2,3,0,1,18.138832975555214,28,88.6
cochannel_plateau,cochannel,20,20,2,4,1,1,,28,88.52
cochannel_plateau,cochannel,20,20,2,5,0,1,17.9812272326564,28,87.64
cochannel_plateau,cochannel,20,20,2,6,1,1,17.404556747465286,28,87.64
difffreq_tcp6,difffreq,6,3,0,1,0,0,6.290290199549683,19,30.52
difffreq_tcp6,difffreq,6,3,0,2,1,1,4.54333032421939,14,19.35
difffreq_tcp6,difffreq,6,3,0,3,0,1,4.36735466363852,12,15.65
difffreq_tcp6,difffreq,6,3,0,4,1,1,4.5433666671610595,12,12.96
difffreq_tcp6,difffreq,6,3,0,5,0,1,5.590424459599816,14,19.2
difffreq_tcp6,difffreq,6,3,0,6,1,1,3.145132521575915,16,8.1
