seed,ue_id,moved,outage,sinr_base_db,sinr_steer_db,twin_gain_pct,mac_gain_pct,real_gain_pct,gap_vs_mac_pts,fidelity_gap_pts
0,ue0,0,0,22.53,22.53,22.222,22.222,22.222,-0.0,0.0
0,ue1,0,0,26.38,26.38,0.0,0.0,0.0,0.0,0.0
0,ue2,1,0,2.17,2.25,300.0,300.0,300.0,0.0,0.0
0,ue3,0,0,28.07,28.07,0.0,0.0,0.0,0.0,0.0
0,ue4,1,0,3.21,2.34,209.472,210.457,213.908,-0.985,-4.437
0,ue5,0,0,19.86,19.86,22.222,22.222,22.222,0.0,0.0
0,ue6,1,0,5.27,2.89,198.35,199.947,207.155,-1.597,-8.805
0,ue7,0,1,-120.0,-120.0,nan,22.222,22.222,nan,nan
0,ue8,0,0,5.2,5.2,0.0,0.0,0.0,0.0,0.0
0,ue9,0,0,4.22,4.22,0.0,0.0,0.0,0.0,0.0
0,ue10,0,0,10.6,10.6,0.0,0.0,0.0,0.0,0.0
0,ue11,0,0,14.07,14.07,33.333,33.333,33.333,-0.0,0.0
0,ue12,0,0,8.7,8.7,-20.0,-20.0,-20.0,0.0,0.0
0,ue13,0,0,19.18,19.18,0.0,0.0,0.0,0.0,0.0
0,ue14,0,0,18.48,18.48,0.0,0.0,0.0,0.0,0.0
0,ue15,0,0,25.44,25.44,-20.0,-20.0,-20.0,0.0,0.0
0,ue16,0,1,-120.0,-120.0,nan,22.222,22.222,nan,nan
0,ue17,0,0,23.11,23.11,22.222,22.222,22.222,-0.0,0.0
0,ue18,0,0,8.02,8.02,0.0,0.0,0.0,0.0,0.0
0,ue19,0,0,13.24,13.24,22.222,22.222,22.222,0.0,0.0
0,ue20,0,0,14.93,14.93,0.0,0.0,0.0,0.0,0.0
0,ue21,0,0,8.51,8.51,-20.0,-20.0,-20.0,0.0,0.0
0,ue22,0,1,-120.0,-120.0,nan,22.222,22.222,nan,nan
0,ue23,1,0,2.58,0.79,45.696,46.329,54.372,-0.633,-8.676
0,ue24,0,0,21.8,21.8,0.0,0.0,0.0,0.0,0.0
0,ue25,0,0,26.4,26.4,-20.0,-20.0,-20.0,0.0,0.0
0,ue26,0,0,10.0,10.0,33.333,33.333,33.333,0.0,0.0
0,ue27,0,1,-120.0,-120.0,nan,22.222,22.222,nan,nan
0,ue28,0,0,20.23,20.23,0.0,0.0,0.0,0.0,0.0
0,ue29,0,0,20.48,20.48,22.222,22.222,22.222,0.0,0.0
1,ue0,0,0,12.12,12.12,16.667,16.667,16.667,0.0,0.0
1,ue1,1,0,8.07,0.57,364.77,342.12,420.29,22.65,-55.52
1,ue2,0,0,28.39,28.39,16.667,16.667,16.667,0.0,0.0
1,ue3,0,0,13.76,13.76,16.667,16.667,16.667,0.0,0.0
1,ue4,0,0,5.35,5.35,-50.0,-50.0,-50.0,0.0,0.0
1,ue5,0,0,13.01,13.01,16.667,16.667,16.667,-0.0,0.0
1,ue6,0,0,25.06,25.06,16.667,16.667,16.667,0.0,0.0
1,ue7,0,0,7.17,7.17,0.0,0.0,0.0,0.0,0.0
1,ue8,0,0,11.16,11.16,16.667,16.667,16.667,0.0,0.0
1,ue9,0,0,14.47,14.47,33.333,33.333,33.333,-0.0,0.0
1,ue10,0,0,21.35,21.35,0.0,0.0,0.0,0.0,0.0
1,ue11,1,0,10.05,0.34,22.165,21.791,72.878,0.373,-50.714
1,ue12,0,0,16.57,16.57,0.0,0.0,0.0,0.0,0.0
1,ue13,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
